Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
248,Loyola Maryland (Patriot),31,15-16,2039,65.8,2119,68.4,-2.6
249,Tulsa (AAC),30,14-16,2031,67.7,2109,70.3,-2.6
250,Sacramento St. (Big Sky),30,13-17,2134,71.1,2214,73.8,-2.7
251,Indiana St. (Missouri Valley),31,11-20,2170,70,2255,72.7,-2.7
252,La.-Monroe (Sun Belt),32,9-23,2147,67.1,2236,69.9,-2.8
253,Western Ky. (Conference USA),32,15-17,2209,69,2302,71.9,-2.9
254,CSUN (Big West),29,11-18,2273,78.4,2359,81.3,-3
255,Binghamton (America East),32,12-20,2175,68,2270,70.9,-3
256,UTSA (Conference USA),32,14-18,2108,65.9,2205,68.9,-3
257,Bowling Green (Mid-American),32,13-19,2355,73.6,2453,76.7,-3.1
258,Nebraska (Big Ten),31,12-19,2168,69.9,2264,73,-3.1
259,Northern Colo. (Big Sky),29,11-18,2075,71.6,2167,74.7,-3.2
260,James Madison (Colonial),33,10-23,2194,66.5,2299,69.7,-3.2
261,Morgan St. (Mid-Eastern),29,14-15,1960,67.6,2053,70.8,-3.2
262,Bryant (Northeast),32,12-20,2373,74.2,2478,77.4,-3.3
263,Northwestern St. (Southland),29,13-16,2204,76,2301,79.3,-3.3
264,FIU (Conference USA),31,7-24,2178,70.3,2282,73.6,-3.4
265,Robert Morris (Northeast),33,14-19,2125,64.4,2238,67.8,-3.4
266,Sacred Heart (Northeast),32,13-19,2326,72.7,2436,76.1,-3.4
267,Drexel (Colonial),32,9-23,2397,74.9,2508,78.4,-3.5
268,Missouri (Southeastern),31,8-23,2139,69,2247,72.5,-3.5
269,Saint Joseph's (Atlantic 10),31,11-20,2155,69.5,2265,73.1,-3.5
270,Charlotte (Conference USA),30,13-17,2295,76.5,2407,80.2,-3.7
271,Duquesne (Atlantic 10),32,10-22,2256,70.5,2376,74.3,-3.8
272,Fla. Atlantic (Conference USA),30,10-20,2108,70.3,2221,74,-3.8
273,Long Beach St. (Big West),32,14-18,2419,75.6,2542,79.4,-3.8
274,Niagara (Metro Atlantic),33,10-23,2448,74.2,2579,78.2,-4
275,Colgate (Patriot),32,10-22,2145,67,2273,71,-4
276,Milwaukee (Horizon),35,11-24,2347,67.1,2494,71.3,-4.2
277,Miami (OH) (Mid-American),32,11-21,2249,70.3,2384,74.5,-4.2
278,UMES (Mid-Eastern),32,13-19,2308,72.1,2444,76.4,-4.3
279,Eastern Ky. (OVC),31,12-19,2197,70.9,2330,75.2,-4.3
280,Prairie View (Southwestern),33,13-20,2276,69,2420,73.3,-4.4
281,Cleveland St. (Horizon),31,9-22,2083,67.2,2222,71.7,-4.5
282,Washington (Pac-12),30,9-21,2295,76.5,2435,81.2,-4.7
283,The Citadel (Southern),33,12-21,2964,89.8,3121,94.6,-4.8
284,Nicholls St. (Southland),31,14-17,2316,74.7,2464,79.5,-4.8
285,Oral Roberts (Summit League),30,8-22,2252,75.1,2398,79.9,-4.9
286,Radford (Big South),32,14-18,2090,65.3,2247,70.2,-4.9
287,Western Ill. (Summit League),28,8-20,2012,71.9,2151,76.8,-5
288,Cal Poly (Big West),30,11-19,2027,67.6,2176,72.5,-5
289,Pacific (West Coast),33,11-22,2206,66.8,2371,71.8,-5
290,UTRGV (Western Athletic),31,10-21,2427,78.3,2583,83.3,-5
291,Portland (West Coast),33,11-22,2215,67.1,2383,72.2,-5.1
292,Bradley (Missouri Valley),33,13-20,2163,65.5,2333,70.7,-5.2
293,Youngstown St. (Horizon),34,13-21,2616,76.9,2799,82.3,-5.4
294,UC Riverside (Big West),27,7-20,1747,64.7,1895,70.2,-5.5
295,Cornell (Ivy League),29,8-21,2074,71.5,2238,77.2,-5.7
296,DePaul (Big East),32,9-23,2206,68.9,2388,74.6,-5.7
297,Stetson (ASUN),32,11-21,2471,77.2,2654,82.9,-5.7
298,Drake (Missouri Valley),31,7-24,2208,71.2,2390,77.1,-5.9
299,Boston College (Atlantic Coast),32,9-23,2320,72.5,2508,78.4,-5.9
300,San Diego (West Coast),31,13-18,2025,65.3,2210,71.3,-6
301,North Texas (Conference USA),30,8-22,2075,69.2,2258,75.3,-6.1
302,Austin Peay (OVC),30,11-19,2331,77.7,2515,83.8,-6.1
303,Savannah St. (Mid-Eastern),29,13-16,2485,85.7,2665,91.9,-6.2
304,UNLV (Mountain West),32,11-21,2202,68.8,2405,75.2,-6.3
305,Washington St. (Pac-12),31,13-18,2179,70.3,2376,76.6,-6.4
306,Quinnipiac (Metro Atlantic),31,10-21,2377,76.7,2583,83.3,-6.6
307,Delaware St. (Mid-Eastern),32,10-22,2186,68.3,2399,75,-6.7
308,Bethune-Cookman (Mid-Eastern),32,10-22,2275,71.1,2490,77.8,-6.7
309,Delaware (Colonial),33,13-20,2157,65.4,2381,72.2,-6.8
310,American (Patriot),30,8-22,1845,61.5,2049,68.3,-6.8
311,Northern Ariz. (Big Sky),32,9-23,2218,69.3,2436,76.1,-6.8
312,Manhattan (Metro Atlantic),32,10-22,2259,70.6,2485,77.7,-7.1
313,Florida A&M (Mid-Eastern),30,7-23,2153,71.8,2365,78.8,-7.1
314,Southern Utah (Big Sky),32,6-26,2489,77.8,2724,85.1,-7.3
315,Howard (Mid-Eastern),33,10-23,2123,64.3,2375,72,-7.6
316,Dartmouth (Ivy League),27,7-20,1812,67.1,2020,74.8,-7.7
317,Detroit Mercy (Horizon),31,8-23,2387,77,2630,84.8,-7.8
318,SIUE (OVC),30,6-24,2044,68.1,2282,76.1,-7.9
319,Saint Louis (Atlantic 10),32,12-20,1980,61.9,2235,69.8,-8
320,LSU (Southeastern),31,10-21,2319,74.8,2572,83,-8.2
321,Tulane (AAC),30,6-24,2119,70.6,2368,78.9,-8.3
322,Alabama St. (Southwestern),31,8-23,2042,65.9,2305,74.4,-8.5
323,McNeese (Southland),29,7-22,2043,70.4,2292,79,-8.6
324,Southern Miss. (Conference USA),31,9-22,1952,63,2239,72.2,-9.3
325,Central Ark. (Southland),32,8-24,2395,74.8,2692,84.1,-9.3
326,Oregon St. (Pac-12),32,5-27,2021,63.2,2321,72.5,-9.4
327,Lafayette (Patriot),30,9-21,1995,66.5,2282,76.1,-9.6
328,Marist (Metro Atlantic),32,8-24,2223,69.5,2530,79.1,-9.6
329,South Fla. (AAC),29,7-22,1879,64.8,2158,74.4,-9.6
330,VMI (Southern),30,6-24,2057,68.6,2346,78.2,-9.6
331,Central Conn. St. (Northeast),29,6-23,1827,63,2112,72.8,-9.8
332,UC Santa Barbara (Big West),28,6-22,1701,60.8,1987,71,-10.2
333,Hartford (America East),32,9-23,2136,66.8,2465,77,-10.3
334,South Carolina St. (Mid-Eastern),31,11-20,2167,69.9,2486,80.2,-10.3
335,Maine (America East),32,7-25,2069,64.7,2400,75,-10.3
336,Idaho St. (Big Sky),31,5-26,2164,69.8,2486,80.2,-10.4
337,Ark.-Pine Bluff (Southwestern),32,7-25,1977,61.8,2320,72.5,-10.7
338,Pepperdine (West Coast),31,9-22,2140,69,2490,80.3,-11.3
339,St. Francis Brooklyn (Northeast),31,4-27,1921,62,2284,73.7,-11.7
340,N.C. A&T (Mid-Eastern),32,3-29,2058,64.3,2434,76.1,-11.8
